dataset,method,k,path,rol_fase6,justificacion,riesgo_residual
olive_oil_3class,mrmr_approx,5,data/selected_features/olive_oil_3class/mrmr_approx/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,mrmr_approx,8,data/selected_features/olive_oil_3class/mrmr_approx/k_8/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,mutual_info,3,data/selected_features/olive_oil_3class/mutual_info/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,mutual_info,5,data/selected_features/olive_oil_3class/mutual_info/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,mutual_info,8,data/selected_features/olive_oil_3class/mutual_info/k_8/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,random_forest,3,data/selected_features/olive_oil_3class/random_forest/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,random_forest,5,data/selected_features/olive_oil_3class/random_forest/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,random_forest,8,data/selected_features/olive_oil_3class/random_forest/k_8/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,variance,3,data/selected_features/olive_oil_3class/variance/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,variance,5,data/selected_features/olive_oil_3class/variance/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_3class,variance,8,data/selected_features/olive_oil_3class/variance/k_8/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,f_classif,3,data/selected_features/olive_oil_9class/f_classif/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,f_classif,5,data/selected_features/olive_oil_9class/f_classif/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,f_classif,8,data/selected_features/olive_oil_9class/f_classif/k_8/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,l1_logistic,3,data/selected_features/olive_oil_9class/l1_logistic/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,l1_logistic,5,data/selected_features/olive_oil_9class/l1_logistic/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,l1_logistic,8,data/selected_features/olive_oil_9class/l1_logistic/k_8/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,linear_svm,3,data/selected_features/olive_oil_9class/linear_svm/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,linear_svm,5,data/selected_features/olive_oil_9class/linear_svm/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,linear_svm,8,data/selected_features/olive_oil_9class/linear_svm/k_8/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,mrmr_approx,3,data/selected_features/olive_oil_9class/mrmr_approx/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,mrmr_approx,5,data/selected_features/olive_oil_9class/mrmr_approx/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,mrmr_approx,8,data/selected_features/olive_oil_9class/mrmr_approx/k_8/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,mutual_info,3,data/selected_features/olive_oil_9class/mutual_info/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,mutual_info,5,data/selected_features/olive_oil_9class/mutual_info/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,mutual_info,8,data/selected_features/olive_oil_9class/mutual_info/k_8/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,random_forest,3,data/selected_features/olive_oil_9class/random_forest/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,random_forest,5,data/selected_features/olive_oil_9class/random_forest/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,random_forest,8,data/selected_features/olive_oil_9class/random_forest/k_8/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,variance,3,data/selected_features/olive_oil_9class/variance/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,variance,5,data/selected_features/olive_oil_9class/variance/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
olive_oil_9class,variance,8,data/selected_features/olive_oil_9class/variance/k_8/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
