dataset,method,k,ranking_table,selected_table,rows
madelon,linear_svm,10,results/tables/05_feature_selection/granular/madelon/linear_svm/k_10.csv,results/tables/05_feature_selection/granular/madelon/linear_svm/k_10_seleccionadas.csv,1500
madelon,linear_svm,15,results/tables/05_feature_selection/granular/madelon/linear_svm/k_15.csv,results/tables/05_feature_selection/granular/madelon/linear_svm/k_15_seleccionadas.csv,1500
madelon,linear_svm,20,results/tables/05_feature_selection/granular/madelon/linear_svm/k_20.csv,results/tables/05_feature_selection/granular/madelon/linear_svm/k_20_seleccionadas.csv,1500
madelon,linear_svm,22,results/tables/05_feature_selection/granular/madelon/linear_svm/k_22.csv,results/tables/05_feature_selection/granular/madelon/linear_svm/k_22_seleccionadas.csv,1500
madelon,linear_svm,30,results/tables/05_feature_selection/granular/madelon/linear_svm/k_30.csv,results/tables/05_feature_selection/granular/madelon/linear_svm/k_30_seleccionadas.csv,1500
madelon,linear_svm,50,results/tables/05_feature_selection/granular/madelon/linear_svm/k_50.csv,results/tables/05_feature_selection/granular/madelon/linear_svm/k_50_seleccionadas.csv,1500
madelon,mrmr_approx,5,results/tables/05_feature_selection/granular/madelon/mrmr_approx/k_5.csv,results/tables/05_feature_selection/granular/madelon/mrmr_approx/k_5_seleccionadas.csv,1500
madelon,mrmr_approx,10,results/tables/05_feature_selection/granular/madelon/mrmr_approx/k_10.csv,results/tables/05_feature_selection/granular/madelon/mrmr_approx/k_10_seleccionadas.csv,1500
madelon,mrmr_approx,15,results/tables/05_feature_selection/granular/madelon/mrmr_approx/k_15.csv,results/tables/05_feature_selection/granular/madelon/mrmr_approx/k_15_seleccionadas.csv,1500
madelon,mrmr_approx,20,results/tables/05_feature_selection/granular/madelon/mrmr_approx/k_20.csv,results/tables/05_feature_selection/granular/madelon/mrmr_approx/k_20_seleccionadas.csv,1500
madelon,mrmr_approx,22,results/tables/05_feature_selection/granular/madelon/mrmr_approx/k_22.csv,results/tables/05_feature_selection/granular/madelon/mrmr_approx/k_22_seleccionadas.csv,1500
madelon,mrmr_approx,30,results/tables/05_feature_selection/granular/madelon/mrmr_approx/k_30.csv,results/tables/05_feature_selection/granular/madelon/mrmr_approx/k_30_seleccionadas.csv,1500
madelon,mrmr_approx,50,results/tables/05_feature_selection/granular/madelon/mrmr_approx/k_50.csv,results/tables/05_feature_selection/granular/madelon/mrmr_approx/k_50_seleccionadas.csv,1500
madelon,mutual_correlation,5,results/tables/05_feature_selection/granular/madelon/mutual_correlation/k_5.csv,results/tables/05_feature_selection/granular/madelon/mutual_correlation/k_5_seleccionadas.csv,1500
madelon,mutual_correlation,10,results/tables/05_feature_selection/granular/madelon/mutual_correlation/k_10.csv,results/tables/05_feature_selection/granular/madelon/mutual_correlation/k_10_seleccionadas.csv,1500
madelon,mutual_correlation,15,results/tables/05_feature_selection/granular/madelon/mutual_correlation/k_15.csv,results/tables/05_feature_selection/granular/madelon/mutual_correlation/k_15_seleccionadas.csv,1500
madelon,mutual_correlation,20,results/tables/05_feature_selection/granular/madelon/mutual_correlation/k_20.csv,results/tables/05_feature_selection/granular/madelon/mutual_correlation/k_20_seleccionadas.csv,1500
madelon,mutual_correlation,22,results/tables/05_feature_selection/granular/madelon/mutual_correlation/k_22.csv,results/tables/05_feature_selection/granular/madelon/mutual_correlation/k_22_seleccionadas.csv,1500
madelon,mutual_correlation,30,results/tables/05_feature_selection/granular/madelon/mutual_correlation/k_30.csv,results/tables/05_feature_selection/granular/madelon/mutual_correlation/k_30_seleccionadas.csv,1500
madelon,mutual_correlation,50,results/tables/05_feature_selection/granular/madelon/mutual_correlation/k_50.csv,results/tables/05_feature_selection/granular/madelon/mutual_correlation/k_50_seleccionadas.csv,1500
madelon,mutual_info,5,results/tables/05_feature_selection/granular/madelon/mutual_info/k_5.csv,results/tables/05_feature_selection/granular/madelon/mutual_info/k_5_seleccionadas.csv,1500
madelon,mutual_info,10,results/tables/05_feature_selection/granular/madelon/mutual_info/k_10.csv,results/tables/05_feature_selection/granular/madelon/mutual_info/k_10_seleccionadas.csv,1500
madelon,mutual_info,15,results/tables/05_feature_selection/granular/madelon/mutual_info/k_15.csv,results/tables/05_feature_selection/granular/madelon/mutual_info/k_15_seleccionadas.csv,1500
madelon,mutual_info,20,results/tables/05_feature_selection/granular/madelon/mutual_info/k_20.csv,results/tables/05_feature_selection/granular/madelon/mutual_info/k_20_seleccionadas.csv,1500
madelon,mutual_info,22,results/tables/05_feature_selection/granular/madelon/mutual_info/k_22.csv,results/tables/05_feature_selection/granular/madelon/mutual_info/k_22_seleccionadas.csv,1500
madelon,mutual_info,30,results/tables/05_feature_selection/granular/madelon/mutual_info/k_30.csv,results/tables/05_feature_selection/granular/madelon/mutual_info/k_30_seleccionadas.csv,1500
madelon,mutual_info,50,results/tables/05_feature_selection/granular/madelon/mutual_info/k_50.csv,results/tables/05_feature_selection/granular/madelon/mutual_info/k_50_seleccionadas.csv,1500
madelon,random_forest,5,results/tables/05_feature_selection/granular/madelon/random_forest/k_5.csv,results/tables/05_feature_selection/granular/madelon/random_forest/k_5_seleccionadas.csv,1500
madelon,random_forest,10,results/tables/05_feature_selection/granular/madelon/random_forest/k_10.csv,results/tables/05_feature_selection/granular/madelon/random_forest/k_10_seleccionadas.csv,1500
madelon,random_forest,15,results/tables/05_feature_selection/granular/madelon/random_forest/k_15.csv,results/tables/05_feature_selection/granular/madelon/random_forest/k_15_seleccionadas.csv,1500
madelon,random_forest,20,results/tables/05_feature_selection/granular/madelon/random_forest/k_20.csv,results/tables/05_feature_selection/granular/madelon/random_forest/k_20_seleccionadas.csv,1500
madelon,random_forest,22,results/tables/05_feature_selection/granular/madelon/random_forest/k_22.csv,results/tables/05_feature_selection/granular/madelon/random_forest/k_22_seleccionadas.csv,1500
madelon,random_forest,30,results/tables/05_feature_selection/granular/madelon/random_forest/k_30.csv,results/tables/05_feature_selection/granular/madelon/random_forest/k_30_seleccionadas.csv,1500
madelon,random_forest,50,results/tables/05_feature_selection/granular/madelon/random_forest/k_50.csv,results/tables/05_feature_selection/granular/madelon/random_forest/k_50_seleccionadas.csv,1500
madelon,rfe,10,results/tables/05_feature_selection/granular/madelon/rfe/k_10.csv,results/tables/05_feature_selection/granular/madelon/rfe/k_10_seleccionadas.csv,1500
madelon,rrfs,5,results/tables/05_feature_selection/granular/madelon/rrfs/k_5.csv,results/tables/05_feature_selection/granular/madelon/rrfs/k_5_seleccionadas.csv,1500
madelon,rrfs,10,results/tables/05_feature_selection/granular/madelon/rrfs/k_10.csv,results/tables/05_feature_selection/granular/madelon/rrfs/k_10_seleccionadas.csv,1500
madelon,rrfs,15,results/tables/05_feature_selection/granular/madelon/rrfs/k_15.csv,results/tables/05_feature_selection/granular/madelon/rrfs/k_15_seleccionadas.csv,1500
madelon,rrfs,20,results/tables/05_feature_selection/granular/madelon/rrfs/k_20.csv,results/tables/05_feature_selection/granular/madelon/rrfs/k_20_seleccionadas.csv,1500
madelon,rrfs,22,results/tables/05_feature_selection/granular/madelon/rrfs/k_22.csv,results/tables/05_feature_selection/granular/madelon/rrfs/k_22_seleccionadas.csv,1500
madelon,rrfs,30,results/tables/05_feature_selection/granular/madelon/rrfs/k_30.csv,results/tables/05_feature_selection/granular/madelon/rrfs/k_30_seleccionadas.csv,1500
madelon,rrfs,50,results/tables/05_feature_selection/granular/madelon/rrfs/k_50.csv,results/tables/05_feature_selection/granular/madelon/rrfs/k_50_seleccionadas.csv,1500
madelon,variance,5,results/tables/05_feature_selection/granular/madelon/variance/k_5.csv,results/tables/05_feature_selection/granular/madelon/variance/k_5_seleccionadas.csv,1500
madelon,variance,10,results/tables/05_feature_selection/granular/madelon/variance/k_10.csv,results/tables/05_feature_selection/granular/madelon/variance/k_10_seleccionadas.csv,1500
madelon,variance,15,results/tables/05_feature_selection/granular/madelon/variance/k_15.csv,results/tables/05_feature_selection/granular/madelon/variance/k_15_seleccionadas.csv,1500
madelon,variance,20,results/tables/05_feature_selection/granular/madelon/variance/k_20.csv,results/tables/05_feature_selection/granular/madelon/variance/k_20_seleccionadas.csv,1500
madelon,variance,22,results/tables/05_feature_selection/granular/madelon/variance/k_22.csv,results/tables/05_feature_selection/granular/madelon/variance/k_22_seleccionadas.csv,1500
madelon,variance,30,results/tables/05_feature_selection/granular/madelon/variance/k_30.csv,results/tables/05_feature_selection/granular/madelon/variance/k_30_seleccionadas.csv,1500
madelon,variance,50,results/tables/05_feature_selection/granular/madelon/variance/k_50.csv,results/tables/05_feature_selection/granular/madelon/variance/k_50_seleccionadas.csv,1500
olive_oil_3class,boruta,8,results/tables/05_feature_selection/granular/olive_oil_3class/boruta/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_3class/boruta/k_8_seleccionadas.csv,8
olive_oil_3class,f_classif,3,results/tables/05_feature_selection/granular/olive_oil_3class/f_classif/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_3class/f_classif/k_3_seleccionadas.csv,24
olive_oil_3class,f_classif,5,results/tables/05_feature_selection/granular/olive_oil_3class/f_classif/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_3class/f_classif/k_5_seleccionadas.csv,24
olive_oil_3class,f_classif,8,results/tables/05_feature_selection/granular/olive_oil_3class/f_classif/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_3class/f_classif/k_8_seleccionadas.csv,24
olive_oil_3class,feature_similarity,3,results/tables/05_feature_selection/granular/olive_oil_3class/feature_similarity/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_3class/feature_similarity/k_3_seleccionadas.csv,24
olive_oil_3class,feature_similarity,5,results/tables/05_feature_selection/granular/olive_oil_3class/feature_similarity/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_3class/feature_similarity/k_5_seleccionadas.csv,24
olive_oil_3class,feature_similarity,8,results/tables/05_feature_selection/granular/olive_oil_3class/feature_similarity/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_3class/feature_similarity/k_8_seleccionadas.csv,24
olive_oil_3class,l1_logistic,3,results/tables/05_feature_selection/granular/olive_oil_3class/l1_logistic/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_3class/l1_logistic/k_3_seleccionadas.csv,24
olive_oil_3class,l1_logistic,5,results/tables/05_feature_selection/granular/olive_oil_3class/l1_logistic/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_3class/l1_logistic/k_5_seleccionadas.csv,24
olive_oil_3class,l1_logistic,8,results/tables/05_feature_selection/granular/olive_oil_3class/l1_logistic/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_3class/l1_logistic/k_8_seleccionadas.csv,24
olive_oil_3class,linear_svm,3,results/tables/05_feature_selection/granular/olive_oil_3class/linear_svm/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_3class/linear_svm/k_3_seleccionadas.csv,24
olive_oil_3class,linear_svm,5,results/tables/05_feature_selection/granular/olive_oil_3class/linear_svm/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_3class/linear_svm/k_5_seleccionadas.csv,24
olive_oil_3class,linear_svm,8,results/tables/05_feature_selection/granular/olive_oil_3class/linear_svm/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_3class/linear_svm/k_8_seleccionadas.csv,24
olive_oil_3class,mrmr_approx,3,results/tables/05_feature_selection/granular/olive_oil_3class/mrmr_approx/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_3class/mrmr_approx/k_3_seleccionadas.csv,24
olive_oil_3class,mrmr_approx,5,results/tables/05_feature_selection/granular/olive_oil_3class/mrmr_approx/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_3class/mrmr_approx/k_5_seleccionadas.csv,24
olive_oil_3class,mrmr_approx,8,results/tables/05_feature_selection/granular/olive_oil_3class/mrmr_approx/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_3class/mrmr_approx/k_8_seleccionadas.csv,24
olive_oil_3class,mutual_correlation,3,results/tables/05_feature_selection/granular/olive_oil_3class/mutual_correlation/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_3class/mutual_correlation/k_3_seleccionadas.csv,24
olive_oil_3class,mutual_correlation,5,results/tables/05_feature_selection/granular/olive_oil_3class/mutual_correlation/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_3class/mutual_correlation/k_5_seleccionadas.csv,24
olive_oil_3class,mutual_correlation,8,results/tables/05_feature_selection/granular/olive_oil_3class/mutual_correlation/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_3class/mutual_correlation/k_8_seleccionadas.csv,24
olive_oil_3class,mutual_info,3,results/tables/05_feature_selection/granular/olive_oil_3class/mutual_info/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_3class/mutual_info/k_3_seleccionadas.csv,24
olive_oil_3class,mutual_info,5,results/tables/05_feature_selection/granular/olive_oil_3class/mutual_info/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_3class/mutual_info/k_5_seleccionadas.csv,24
olive_oil_3class,mutual_info,8,results/tables/05_feature_selection/granular/olive_oil_3class/mutual_info/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_3class/mutual_info/k_8_seleccionadas.csv,24
olive_oil_3class,random_forest,3,results/tables/05_feature_selection/granular/olive_oil_3class/random_forest/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_3class/random_forest/k_3_seleccionadas.csv,24
olive_oil_3class,random_forest,5,results/tables/05_feature_selection/granular/olive_oil_3class/random_forest/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_3class/random_forest/k_5_seleccionadas.csv,24
olive_oil_3class,random_forest,8,results/tables/05_feature_selection/granular/olive_oil_3class/random_forest/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_3class/random_forest/k_8_seleccionadas.csv,24
olive_oil_3class,rfe,8,results/tables/05_feature_selection/granular/olive_oil_3class/rfe/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_3class/rfe/k_8_seleccionadas.csv,24
olive_oil_3class,rrfs,3,results/tables/05_feature_selection/granular/olive_oil_3class/rrfs/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_3class/rrfs/k_3_seleccionadas.csv,24
olive_oil_3class,rrfs,5,results/tables/05_feature_selection/granular/olive_oil_3class/rrfs/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_3class/rrfs/k_5_seleccionadas.csv,24
olive_oil_3class,rrfs,8,results/tables/05_feature_selection/granular/olive_oil_3class/rrfs/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_3class/rrfs/k_8_seleccionadas.csv,24
olive_oil_3class,variance,3,results/tables/05_feature_selection/granular/olive_oil_3class/variance/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_3class/variance/k_3_seleccionadas.csv,24
olive_oil_3class,variance,5,results/tables/05_feature_selection/granular/olive_oil_3class/variance/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_3class/variance/k_5_seleccionadas.csv,24
olive_oil_3class,variance,8,results/tables/05_feature_selection/granular/olive_oil_3class/variance/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_3class/variance/k_8_seleccionadas.csv,24
olive_oil_9class,boruta,8,results/tables/05_feature_selection/granular/olive_oil_9class/boruta/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_9class/boruta/k_8_seleccionadas.csv,8
olive_oil_9class,f_classif,3,results/tables/05_feature_selection/granular/olive_oil_9class/f_classif/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_9class/f_classif/k_3_seleccionadas.csv,24
olive_oil_9class,f_classif,5,results/tables/05_feature_selection/granular/olive_oil_9class/f_classif/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_9class/f_classif/k_5_seleccionadas.csv,24
olive_oil_9class,f_classif,8,results/tables/05_feature_selection/granular/olive_oil_9class/f_classif/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_9class/f_classif/k_8_seleccionadas.csv,24
olive_oil_9class,feature_similarity,3,results/tables/05_feature_selection/granular/olive_oil_9class/feature_similarity/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_9class/feature_similarity/k_3_seleccionadas.csv,24
olive_oil_9class,feature_similarity,5,results/tables/05_feature_selection/granular/olive_oil_9class/feature_similarity/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_9class/feature_similarity/k_5_seleccionadas.csv,24
olive_oil_9class,feature_similarity,8,results/tables/05_feature_selection/granular/olive_oil_9class/feature_similarity/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_9class/feature_similarity/k_8_seleccionadas.csv,24
olive_oil_9class,l1_logistic,3,results/tables/05_feature_selection/granular/olive_oil_9class/l1_logistic/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_9class/l1_logistic/k_3_seleccionadas.csv,24
olive_oil_9class,l1_logistic,5,results/tables/05_feature_selection/granular/olive_oil_9class/l1_logistic/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_9class/l1_logistic/k_5_seleccionadas.csv,24
olive_oil_9class,l1_logistic,8,results/tables/05_feature_selection/granular/olive_oil_9class/l1_logistic/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_9class/l1_logistic/k_8_seleccionadas.csv,24
olive_oil_9class,linear_svm,3,results/tables/05_feature_selection/granular/olive_oil_9class/linear_svm/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_9class/linear_svm/k_3_seleccionadas.csv,24
olive_oil_9class,linear_svm,5,results/tables/05_feature_selection/granular/olive_oil_9class/linear_svm/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_9class/linear_svm/k_5_seleccionadas.csv,24
olive_oil_9class,linear_svm,8,results/tables/05_feature_selection/granular/olive_oil_9class/linear_svm/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_9class/linear_svm/k_8_seleccionadas.csv,24
olive_oil_9class,mrmr_approx,3,results/tables/05_feature_selection/granular/olive_oil_9class/mrmr_approx/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_9class/mrmr_approx/k_3_seleccionadas.csv,24
olive_oil_9class,mrmr_approx,5,results/tables/05_feature_selection/granular/olive_oil_9class/mrmr_approx/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_9class/mrmr_approx/k_5_seleccionadas.csv,24
olive_oil_9class,mrmr_approx,8,results/tables/05_feature_selection/granular/olive_oil_9class/mrmr_approx/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_9class/mrmr_approx/k_8_seleccionadas.csv,24
olive_oil_9class,mutual_correlation,3,results/tables/05_feature_selection/granular/olive_oil_9class/mutual_correlation/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_9class/mutual_correlation/k_3_seleccionadas.csv,24
olive_oil_9class,mutual_correlation,5,results/tables/05_feature_selection/granular/olive_oil_9class/mutual_correlation/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_9class/mutual_correlation/k_5_seleccionadas.csv,24
olive_oil_9class,mutual_correlation,8,results/tables/05_feature_selection/granular/olive_oil_9class/mutual_correlation/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_9class/mutual_correlation/k_8_seleccionadas.csv,24
olive_oil_9class,mutual_info,3,results/tables/05_feature_selection/granular/olive_oil_9class/mutual_info/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_9class/mutual_info/k_3_seleccionadas.csv,24
olive_oil_9class,mutual_info,5,results/tables/05_feature_selection/granular/olive_oil_9class/mutual_info/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_9class/mutual_info/k_5_seleccionadas.csv,24
olive_oil_9class,mutual_info,8,results/tables/05_feature_selection/granular/olive_oil_9class/mutual_info/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_9class/mutual_info/k_8_seleccionadas.csv,24
olive_oil_9class,random_forest,3,results/tables/05_feature_selection/granular/olive_oil_9class/random_forest/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_9class/random_forest/k_3_seleccionadas.csv,24
olive_oil_9class,random_forest,5,results/tables/05_feature_selection/granular/olive_oil_9class/random_forest/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_9class/random_forest/k_5_seleccionadas.csv,24
olive_oil_9class,random_forest,8,results/tables/05_feature_selection/granular/olive_oil_9class/random_forest/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_9class/random_forest/k_8_seleccionadas.csv,24
olive_oil_9class,rfe,8,results/tables/05_feature_selection/granular/olive_oil_9class/rfe/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_9class/rfe/k_8_seleccionadas.csv,24
olive_oil_9class,rrfs,3,results/tables/05_feature_selection/granular/olive_oil_9class/rrfs/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_9class/rrfs/k_3_seleccionadas.csv,24
olive_oil_9class,rrfs,5,results/tables/05_feature_selection/granular/olive_oil_9class/rrfs/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_9class/rrfs/k_5_seleccionadas.csv,24
olive_oil_9class,rrfs,8,results/tables/05_feature_selection/granular/olive_oil_9class/rrfs/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_9class/rrfs/k_8_seleccionadas.csv,24
olive_oil_9class,variance,3,results/tables/05_feature_selection/granular/olive_oil_9class/variance/k_3.csv,results/tables/05_feature_selection/granular/olive_oil_9class/variance/k_3_seleccionadas.csv,24
olive_oil_9class,variance,5,results/tables/05_feature_selection/granular/olive_oil_9class/variance/k_5.csv,results/tables/05_feature_selection/granular/olive_oil_9class/variance/k_5_seleccionadas.csv,24
olive_oil_9class,variance,8,results/tables/05_feature_selection/granular/olive_oil_9class/variance/k_8.csv,results/tables/05_feature_selection/granular/olive_oil_9class/variance/k_8_seleccionadas.csv,24
