dataset,variable,minimo,maximo,rango,mediana,iqr
madelon,feat_425,436.0,542.0,106.0,489.0,21.0
madelon,feat_426,435.0,556.0,121.0,491.0,25.0
madelon,feat_427,362.0,633.0,271.0,484.0,48.0
madelon,feat_428,362.0,593.0,231.0,484.5,46.0
madelon,feat_429,463.0,494.0,31.0,477.0,6.0
madelon,feat_430,398.0,568.0,170.0,494.0,29.0
madelon,feat_431,404.0,604.0,200.0,506.0,43.0
madelon,feat_432,383.0,584.0,201.0,479.0,36.0
madelon,feat_433,263.0,719.0,456.0,499.5,117.0
madelon,feat_434,418.0,558.0,140.0,489.0,28.0
madelon,feat_435,363.0,657.0,294.0,500.0,48.0
madelon,feat_436,436.0,517.0,81.0,477.0,15.0
madelon,feat_437,393.0,653.0,260.0,516.0,56.0
madelon,feat_438,368.0,603.0,235.0,486.0,41.0
madelon,feat_439,452.0,521.0,69.0,485.0,14.0
madelon,feat_440,349.0,626.0,277.0,489.0,54.0
madelon,feat_441,417.0,542.0,125.0,480.0,22.0
madelon,feat_442,207.0,794.0,587.0,494.0,133.0
madelon,feat_443,345.0,651.0,306.0,502.0,58.0
madelon,feat_444,433.0,575.0,142.0,492.0,26.0
madelon,feat_445,472.0,483.0,11.0,477.0,2.0
madelon,feat_446,435.0,517.0,82.0,480.0,14.0
madelon,feat_447,449.0,532.0,83.0,486.0,15.0
madelon,feat_448,343.0,631.0,288.0,484.0,53.0
madelon,feat_449,435.0,510.0,75.0,477.0,15.0
madelon,feat_450,433.0,536.0,103.0,488.0,19.0
madelon,feat_451,450.0,505.0,55.0,478.0,15.0
madelon,feat_452,417.0,569.0,152.0,489.0,24.0
madelon,feat_453,84.0,807.0,723.0,487.5,163.25
madelon,feat_454,460.0,500.0,40.0,480.0,8.0
madelon,feat_455,265.0,735.0,470.0,504.5,131.0
madelon,feat_456,461.0,501.0,40.0,480.0,8.0
madelon,feat_457,384.0,586.0,202.0,480.0,43.0
madelon,feat_458,350.0,650.0,300.0,491.0,59.0
madelon,feat_459,383.0,592.0,209.0,486.0,45.0
madelon,feat_460,376.0,639.0,263.0,502.0,49.0
madelon,feat_461,403.0,560.0,157.0,483.0,31.0
madelon,feat_462,379.0,625.0,246.0,494.0,45.0
madelon,feat_463,347.0,615.0,268.0,481.0,58.0
madelon,feat_464,424.0,547.0,123.0,485.0,23.0
madelon,feat_465,426.0,566.0,140.0,490.0,26.0
madelon,feat_466,452.0,510.0,58.0,481.0,11.0
madelon,feat_467,364.0,670.0,306.0,510.0,49.0
madelon,feat_468,408.0,540.0,132.0,481.0,27.0
madelon,feat_469,333.0,633.0,300.0,481.0,52.0
madelon,feat_470,398.0,666.0,268.0,515.0,55.25
madelon,feat_471,464.0,493.0,29.0,479.0,6.0
madelon,feat_472,347.0,621.0,274.0,480.0,61.0
madelon,feat_473,472.0,484.0,12.0,478.0,3.0
madelon,feat_474,455.0,506.0,51.0,479.0,9.0
madelon,feat_475,276.0,680.0,404.0,485.5,123.25
madelon,feat_476,428.0,535.0,107.0,482.0,21.0
madelon,feat_477,423.0,548.0,125.0,488.0,23.0
madelon,feat_478,347.0,630.0,283.0,483.0,51.0
madelon,feat_479,450.0,528.0,78.0,487.0,16.0
madelon,feat_480,418.0,554.0,136.0,486.0,27.0
madelon,feat_481,391.0,587.0,196.0,478.0,37.0
madelon,feat_482,439.0,509.0,70.0,478.0,13.0
madelon,feat_483,375.0,623.0,248.0,497.0,46.0
madelon,feat_484,376.0,619.0,243.0,501.0,48.25
madelon,feat_485,444.0,523.0,79.0,483.0,15.0
madelon,feat_486,444.0,512.0,68.0,479.0,13.0
madelon,feat_487,355.0,618.0,263.0,482.0,46.0
madelon,feat_488,411.0,606.0,195.0,490.0,30.0
madelon,feat_489,449.0,513.0,64.0,480.0,11.0
madelon,feat_490,407.0,549.0,142.0,482.0,28.0
madelon,feat_491,463.0,497.0,34.0,479.0,5.0
madelon,feat_492,391.0,566.0,175.0,486.0,31.0
madelon,feat_493,130.0,920.0,790.0,504.0,182.0
madelon,feat_494,368.0,615.0,247.0,492.0,47.0
madelon,feat_495,398.0,661.0,263.0,511.0,49.0
madelon,feat_496,457.0,500.0,43.0,478.0,8.0
madelon,feat_497,435.0,535.0,100.0,483.0,18.0
madelon,feat_498,363.0,644.0,281.0,508.0,51.0
madelon,feat_499,403.0,583.0,180.0,490.0,34.25
olive_oil,area,1.0,3.0,2.0,1.0,2.0
olive_oil,palmitic,1.0,9.0,8.0,3.0,4.0
olive_oil,palmitoleic,610.0,1753.0,1143.0,1201.0,265.0
olive_oil,stearic,15.0,280.0,265.0,110.0,81.5
olive_oil,oleic,152.0,375.0,223.0,223.0,44.0
olive_oil,linoleic,6300.0,8410.0,2110.0,7302.5,680.0
olive_oil,linolenic,448.0,1470.0,1022.0,1030.0,410.0
olive_oil,arachidic,0.0,74.0,74.0,33.0,14.25
olive_oil,eicosenoic,0.0,105.0,105.0,61.0,20.0
olive_oil,other,1.0,58.0,57.0,17.0,26.0
