figure_id,notebook_section,current_path,new_path,figure_class,action,question,data_shape,analytical_intent,derived_metric_needed,scientific_constraints,candidate_families,rejected_families,combined_type,layout,story_protagonist,title_message,subtitle_context,annotation_plan,warmth_style_plan,notebook_size_target,pdf_export_target,acceptance_risks,decision_reason
fase5_fig_29,05_12,results/figures/05_feature_selection/redundancy_by_dataset/olive_oil_9class_selected_vs_full_redundancy.png,results/figures/05_feature_selection/redundancy_by_dataset/olive_oil_9class_selected_vs_full_redundancy.png,appendix,keep,¿Cada método reduce o concentra redundancia frente al espacio completo?,"tabla/matriz de métricas agregadas por dataset, método o feature",comparación paired selected vs full,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",dot plot paired; barras de delta; tabla,barras de delta pierden el nivel absoluto; tabla exige cálculo mental,none,dot plot paired,olive_oil_9class,¿Cada método reduce o concentra redundancia frente al espacio completo?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_30,05_11,results/figures/05_feature_selection/permutation_detail/olive_oil_9class_permutation_detail.png,results/figures/05_feature_selection/permutation_detail/olive_oil_9class_permutation_detail.png,appendix,keep,¿Qué variables quedan más separadas del nulo por permutación?,"tabla/matriz de métricas agregadas por dataset, método o feature",distancia frente a nulo,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",barras de delta; scatter real vs nulo; tabla de p-valores,scatter requiere más lectura; tabla no muestra umbral cero de forma inmediata,none,barras horizontales de delta,olive_oil_9class,¿Qué variables quedan más separadas del nulo por permutación?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_31,05_15,results/figures/05_feature_selection/dataset_stories/olive_oil_9class_selection_story.png,results/figures/05_feature_selection/dataset_stories/olive_oil_9class_selection_story.png,memory_candidate,keep,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?","tabla/matriz de métricas agregadas por dataset, método o feature",síntesis narrativa por dataset,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",tres paneles; figuras separadas; scorecard,scorecard ocultaría nombres de variables; figuras separadas dispersan una misma historia,multipanel,figura compuesta tres paneles,olive_oil_9class,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?","Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_32,05_15,results/figures/05_feature_selection/summary/fs_method_profiles_summary.png,results/figures/05_feature_selection/summary/fs_method_profiles_summary.png,memory_candidate,keep,"¿Cómo se comparan coste, estabilidad y redundancia por método?","tabla/matriz de métricas agregadas por dataset, método o feature",perfil global coste-estabilidad-redundancia,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",multipanel ranking; radar; tabla,radar descartado por comparación imprecisa; tabla exige mucha aritmética,multipanel,multipanel ranking,GLOBAL,"¿Cómo se comparan coste, estabilidad y redundancia por método?","Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_33,05_08,results/figures/05_feature_selection/cost/fs_execution_time_heatmap.png,results/figures/05_feature_selection/cost/fs_execution_time_heatmap.png,memory_candidate,keep,¿Dónde se concentra el coste computacional de la selección clásica?,"tabla/matriz de métricas agregadas por dataset, método o feature",diagnóstico de coste,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",heatmap anotado; barras agrupadas; tabla,barras agrupadas saturan 5x7 combinaciones; tabla exige buscar máximos,none,heatmap anotado,GLOBAL,¿Dónde se concentra el coste computacional de la selección clásica?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_34,05_10,results/figures/05_feature_selection/stability/fs_stability_distribution_by_method.png,results/figures/05_feature_selection/stability/fs_stability_distribution_by_method.png,memory_candidate,keep,¿Qué métodos son estables de forma consistente y cuáles tienen dispersión?,"tabla/matriz de métricas agregadas por dataset, método o feature",distribución de estabilidad,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",boxplot + puntos; barras de media; tabla,barras de media ocultan dispersión entre datasets y k; tabla exige lectura larga,none,boxplot + strip,GLOBAL,¿Qué métodos son estables de forma consistente y cuáles tienen dispersión?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_35,05_11,results/figures/05_feature_selection/permutation/fs_permutation_above_null_heatmap.png,results/figures/05_feature_selection/permutation/fs_permutation_above_null_heatmap.png,memory_candidate,keep,¿Cuántas variables superan el p95 nulo por permutación?,"tabla/matriz de métricas agregadas por dataset, método o feature",resumen de señal frente a nulo,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",heatmap anotado; barras agrupadas; tabla,barras agrupadas menos compactas para dataset x método; tabla exige comparar manualmente,none,heatmap anotado,GLOBAL,¿Cuántas variables superan el p95 nulo por permutación?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_36,05_10,results/figures/05_feature_selection/stability/fs_stability_jaccard_heatmap.png,results/figures/05_feature_selection/stability/fs_stability_jaccard_heatmap.png,memory_candidate,keep,¿Qué métodos producen subconjuntos estables entre semillas en cada dataset?,"tabla/matriz de métricas agregadas por dataset, método o feature",matriz dataset-método de estabilidad,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",heatmap anotado; dot plot; tabla,dot plot dispersa la matriz; tabla exige localizar mínimos,none,heatmap anotado,GLOBAL,¿Qué métodos producen subconjuntos estables entre semillas en cada dataset?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_37,05_12,results/figures/05_feature_selection/redundancy/fs_redundancy_delta.png,results/figures/05_feature_selection/redundancy/fs_redundancy_delta.png,memory_candidate,keep,¿La selección reduce o concentra la redundancia interna respecto al espacio completo?,"tabla/matriz de métricas agregadas por dataset, método o feature",delta de redundancia global,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",dot plot; barras agrupadas; tabla,barras agrupadas saturan dataset x método; tabla exige calcular signos,none,dot plot con baseline cero,GLOBAL,¿La selección reduce o concentra la redundancia interna respecto al espacio completo?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_38,05_15,results/figures/05_feature_selection/visual_review_sheet/fs_visual_review_sheet.png,results/figures/05_feature_selection/visual_review_sheet/fs_visual_review_sheet.png,diagnostic_internal,keep,Revisión conjunta de figuras candidatas,"tabla/matriz de métricas agregadas por dataset, método o feature",comparación diagnóstica,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",review sheet,"pie/donut, 3D, radar y tablas como imagen rechazados por lectura imprecisa o baja trazabilidad",none,review sheet,GLOBAL,Revisión conjunta de figuras candidatas,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
